OTUID,A,B,stat,p.value,Group,Domain,Phylum,Phylum_mod,Class,Order,Family,Genus,Species,OTUID.1, cummulative_abund,P26.2010.06.10m,P26.2010.06.25m,P26.2010.06.50m,P26.2010.06.100m,P26.2010.08.10m,P26.2010.08.25m,P26.2010.08.50m,P26.2010.08.100m,P26.2011.02.10m,P26.2011.02.25m,P26.2011.02.50m,P26.2011.02.100m,P26.2011.06.10m,P26.2011.06.25m,P26.2011.06.50m,P26.2011.06.100m,P26.2011.08.10m,P26.2011.08.25m,P26.2011.08.50m,P26.2011.08.100m,P26.2012.02.10m,P26.2012.02.25m,P26.2012.02.50m,P26.2012.02.100m,P26.2012.06.10m,P26.2012.06.25m,P26.2012.06.50m,P26.2012.06.100m,P26.2012.08.10m,P26.2012.08.25m,P26.2012.08.50m,P26.2012.08.100m,P26.2013.02.10m,P26.2013.02.25m,P26.2013.02.50m,P26.2013.02.100m,P26.2013.06.10m,P26.2013.06.25m,P26.2013.06.50m,P26.2013.06.100m,P26.2013.08.10m,P26.2013.08.50m,P26.2014.02.10m,P26.2014.02.25m,P26.2014.02.50m,P26.2014.02.100m,P26.2014.06.10m,P26.2014.06.25m,P26.2014.06.50m,P26.2014.08.10m,P26.2014.08.25m,P26.2014.08.50m,P26.2014.08.100m,P26.2015.02.10m,P26.2015.02.25m,P26.2015.02.50m,P26.2015.02.100m,P26.2015.06.10m,P26.2015.06.25m,P26.2015.06.50m,P26.2015.06.100m,P26.2015.08.10m,P26.2015.08.25m,P26.2015.08.50m,P26.2015.08.100m,P26.2016.02.10m,P26.2016.02.25m,P26.2016.02.50m,P26.2016.02.100m
OTU_4,0.5594,1,0.748,0.005,No,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,,OTU_4,14.54659913,0.256414821,0.231351503,0.253598943,0.024179518,0.183477383,0.174227206,0.183966793,0.076426031,0.185839145,0.162436103,0.14968658,0.156902065,0.225067725,0.20916684,0.23408622,0.128455321,0.220592474,0.263759784,0.218928014,0.109333172,0.1015049,0.108897382,0.10026348,0.095242318,0.229474439,0.222573631,0.181150825,0.119533826,0.142205036,0.125087299,0.144368091,0.051318102,0.11211987,0.070031915,0.121492243,0.080103716,0.15058286,0.196453282,0.162943693,0.11327497,0.146848165,0.194067715,0.098121175,0.101790926,0.114168661,0.125774139,0.167131102,0.141781389,0.149336677,0.132426175,0.137668188,0.137542601,0.072766932,0.11860647,0.120899448,0.101724164,0.07222655,0.179663711,0.187780963,0.164969427,0.058518342,0.14759887,0.142193738,0.136085441,0.096751351,0.126307388,0.138117702,0.120280413,0.129488057
OTU_855,0.7268,0.7073,0.717,0.036,No,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,uncultured,uncultured alpha proteobacterium,OTU_855,0.00771743,0,0,1.03E-05,4.20E-05,0,0,0,0.000160361,8.37E-05,0.000105216,0.000144199,6.32E-05,0,1.74E-05,1.08E-05,0.000202812,0,0,0,0.000138616,0.000374886,0.000213702,0.000281913,0.00033255,4.10E-05,8.98E-06,2.24E-05,0.000158737,0,0,2.51E-05,0.000142498,0.000256042,0.000462114,0.000257781,0.000436745,9.80E-06,1.16E-05,3.28E-05,0.000223013,0,6.46E-06,2.87E-05,2.79E-05,6.11E-05,4.69E-05,0,0,0,0,0,0,3.08E-05,2.13E-05,3.39E-05,3.04E-05,1.09E-05,0,0,5.78E-06,5.94E-05,0,0,0,0.000214719,0.000180218,7.73E-05,7.62E-05,0.000142785
OTU_1189,0.9848,1,0.992,0.001,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,uncultured marine bacterium,uncultured marine bacterium,OTU_1189,0.00614442,0,0,0,0,8.86E-06,0,7.22E-06,9.43E-06,0,1.75E-05,1.70E-05,0,0,0,0,0,0,0,0,0,8.93E-06,0,0,0,0,0,0,0,0,0,0,4.75E-06,1.07E-05,0,0,0,0,0,0,0,0,1.29E-05,9.08E-05,6.14E-05,6.11E-05,5.86E-05,5.25E-05,0.000116511,6.41E-05,0.000135815,0.000111877,2.39E-05,7.71E-06,0.000355492,0.000330929,0.000334494,0.000163408,7.89E-05,0.000157374,8.09E-05,2.16E-05,0.000473397,0.000490811,7.16E-05,7.77E-05,0.000167346,0.000216534,0.000182878,0.000154684
OTU_846,0.9769,1,0.988,0.001,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,uncultured,uncultured marine bacterium,uncultured marine bacterium,uncultured marine bacterium,OTU_846,0.006470545,0,0,0,8.40E-06,0,0,0,0,0,8.77E-06,4.24E-05,2.71E-05,0,0,0,0,0,0,0,0,0,1.64E-05,0,0,0,8.98E-06,2.24E-05,0,0,0,0,0,5.33E-06,0,1.03E-05,0,0,0,0,0,0,1.29E-05,0.000406052,0.00029579,0.000390759,0.00027564,0.000314723,0.000306607,0.000277869,0.000213424,0.000134252,0.000149477,2.31E-05,0.000149307,0.000118795,0.000174849,5.45E-05,0.000115251,3.42E-05,5.20E-05,1.08E-05,0.000279382,0.000151019,5.01E-05,1.83E-05,7.08E-05,4.64E-05,9.91E-05,8.92E-05
OTU_1264,0.8897,1,0.943,0.001,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11 clade,Clade IV,,,OTU_1264,0.015664961,2.37E-05,9.33E-06,2.07E-05,0,2.66E-05,1.53E-05,5.78E-05,9.43E-06,4.65E-05,8.77E-06,8.48E-06,2.71E-05,7.09E-05,6.08E-05,5.40E-05,7.51E-05,3.20E-05,2.07E-05,8.46E-05,1.73E-05,8.03E-05,8.22E-05,0.000108428,5.54E-05,1.02E-05,8.98E-06,0,2.05E-05,6.52E-06,0,0,9.50E-06,0,0,0,0,6.86E-05,3.49E-05,4.59E-05,3.63E-05,0.000140534,0.000335668,0.000501593,0.000401828,0.000378547,0.000269776,0.000452415,0.000386325,0.00047024,0.000795488,0.000798055,0.000723468,0.000100198,0.000391042,0.000432754,0.000372505,0.000245113,0.000515595,0.000109477,0.000150266,3.78E-05,0.000294903,0.000443618,0.000114532,0.000182739,0.0002124,0.000108267,0.000129539,7.73E-05
OTU_440,0.8384,1,0.916,0.001,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11 clade,Clade IV,,,OTU_440,0.027056726,1.19E-05,2.80E-05,3.10E-05,0.001336303,8.86E-06,1.53E-05,4.33E-05,0.000528247,0.000120874,0.000149056,0.000161163,0.000243889,2.36E-05,8.68E-06,4.32E-05,0.000105162,4.27E-05,2.07E-05,0.000178602,0.000147279,7.14E-05,0.000106851,0.000173485,0.000121935,6.15E-05,4.49E-05,4.48E-05,0.000215063,0,0,5.03E-06,9.97E-05,9.07E-05,0.000166072,0.000118579,0.000142517,1.96E-05,5.81E-06,5.24E-05,0.000129659,9.21E-05,0.000251751,0.000281848,0.000329276,0.000360231,0.000299099,0.000393404,0.000306607,0.000548613,0.000329837,0.000186461,0.000424514,0.001310283,0.000568788,0.000755197,0.000501741,0.001399866,0.000194106,6.16E-05,0.000202282,0.002561664,0.000318185,8.49E-05,0.000107374,0.00057106,0.000392619,0.000270667,0.000320037,0.000327215
OTU_1335,0.8191,1,0.905,0.001,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,Ambiguous_taxa,Ambiguous_taxa,OTU_1335,0.012078987,0,0,0,1.68E-05,0,0,7.22E-06,1.89E-05,0.000102278,7.01E-05,0.000118752,6.32E-05,0,8.68E-06,0,1.50E-05,0,1.03E-05,0,4.33E-05,0.000124962,0.000172605,9.76E-05,0.00019953,2.05E-05,1.80E-05,2.24E-05,0.000112652,0,0,0,9.02E-05,7.47E-05,0.000144411,9.80E-05,9.19E-05,0,0,2.62E-05,0.000202267,7.75E-05,5.81E-05,0.000339173,0.000379505,0.000586138,0.000410528,0.000118021,0.000239154,0.000341992,0.000245761,0.000380381,0.000292975,6.94E-05,0.000298614,0.000356385,0.000410515,0.000108939,9.10E-05,8.90E-05,0.000132928,3.78E-05,0.000194015,0.00021709,5.01E-05,8.68E-05,0.000225273,0.000216534,0.000167638,0.000142785
OTU_1366,0.8108,1,0.9,0.001,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,OTU_1366,0.12729989,0.000308576,0.00023334,0.000258174,5.04E-05,0.000354221,0.000328442,0.000324851,0.000415051,0.0013947,0.001595777,0.001840652,0.001264611,0.00011025,8.68E-05,0.000162027,0.000488252,0.000437683,0.000289516,4.70E-05,0.000138616,0.00166021,0.001660297,0.001550522,0.001895535,0.000174162,0.000206652,0.000335713,0.000337955,2.61E-05,3.15E-05,0.00019605,0.000199497,0.000725453,0.000606524,0.000768188,0.000717182,4.90E-05,2.91E-05,7.21E-05,0.0001141,0.001458644,7.75E-05,0.002937903,0.002740246,0.002765838,0.001618654,0.001619513,0.001858041,0.003484047,0.00489581,0.003744145,0.004639761,0.000608896,0.00325631,0.002969877,0.003268918,0.001574168,0.000970532,0.000273693,0.000491256,0.000254005,0.003888061,0.003699963,0.00363639,0.000913697,0.002156185,0.00235094,0.002057378,0.002141774
OTU_1193,0.7733,1,0.879,0.001,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11 clade,Clade IV,Ambiguous_taxa,Ambiguous_taxa,OTU_1193,0.04975957,3.56E-05,5.60E-05,9.29E-05,8.40E-06,6.20E-05,6.11E-05,5.05E-05,2.83E-05,0.000148768,0.000140288,9.33E-05,0.000126461,0.000212625,0.000225741,0.000334856,0.000300463,0.000224179,0.000299856,0.00113741,0.000632434,0.000428441,0.000320552,0.000292756,0.000520995,0.000153673,0.000179698,0.000156666,0.000158737,3.91E-05,1.89E-05,5.03E-05,5.22E-05,8.00E-05,0.00012997,6.19E-05,8.28E-05,0.000401973,0.000354672,0.000373499,0.000207454,0.000615441,0.001633154,0.000726116,0.000714361,0.001050164,0.000815192,0.001206439,0.001165108,0.001246847,0.001752661,0.001238104,0.002696562,0.000354547,0.000981159,0.000899448,0.000767816,0.000283241,0.001128244,0.000793711,0.000757112,0.000172939,0.00065189,0.000698462,0.000379387,0.000552787,0.000630765,0.000711469,0.000792472,0.000583038
OTU_972,0.7416,1,0.861,0.001,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11 clade,Clade IV,,,OTU_972,0.063610093,8.31E-05,2.80E-05,5.16E-05,1.68E-05,4.43E-05,5.35E-05,0.000216567,4.72E-05,0.000158066,7.89E-05,0.000245986,0.000198725,0.000378,0.00032993,0.000507685,0.000811249,0.000192154,0.000103399,0.000827208,0.000762387,0.000955067,0.000895903,0.000921639,0.001030905,0.000235632,0.000350411,0.000134285,0.000276509,6.52E-06,3.78E-05,0.000155834,9.50E-05,0.000293382,0.00027438,0.000221692,0.000211477,0.000637274,0.000505843,0.000819076,0.000420094,0.000358604,0.001226479,0.001031849,0.000959923,0.001001319,0.000645116,0.00100318,0.001122183,0.001603089,0.001060651,0.000872639,0.003013453,0.000369962,0.001194454,0.001459482,0.001163127,0.00057193,0.002359606,0.001081088,0.001121219,0.000194557,0.001427951,0.001406364,0.000601293,0.000909128,0.000708001,0.000665068,0.000640073,0.000505697
OTU_228,0.7368,1,0.858,0.001,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,OTU_228,0.183972639,0.002955209,0.002958746,0.002612719,2.52E-05,0.000495909,0.001443619,0.001472658,0.000216959,0.000353324,0.000341952,0.000525901,0.000343251,0.00029925,0.000894284,0.000572496,0.00114927,0.000555111,0.000909909,0.002340622,0.00017327,0.000687291,0.000706859,0.000661412,0.0006651,0.001895298,0.002084494,0.001879994,0.00095242,0.000776008,0.001006688,0.002433029,0.000408493,0.000810801,0.001046977,0.000747565,0.000864296,0.000960813,0.000802372,0.000550419,0.000233386,0.002989978,0.00085208,0.002278666,0.002087275,0.002527719,0.001354743,0.003861915,0.005175533,0.003049432,0.006732548,0.006190519,0.003910314,0.000423915,0.001891219,0.002044972,0.002204619,0.000615505,0.006848318,0.005056483,0.00221354,0.0002486,0.006286087,0.006692025,0.006256308,0.000525376,0.001197165,0.000842936,0.000990589,0.000779368
OTU_320,0.7333,1,0.856,0.001,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,Ambiguous_taxa,Ambiguous_taxa,OTU_320,0.164755781,0.000878255,0.000868023,0.00071256,7.56E-05,0.001620559,0.001604021,0.001718101,0.000311288,0.001078568,0.000903105,0.001119659,0.000921359,0.000504001,0.000460165,0.000496884,0.000923923,0.003565519,0.002957203,0.000705006,0.000216587,0.00066944,0.000920561,0.000737311,0.00079812,0.000850323,0.000557063,0.000693807,0.000737357,0.001584621,0.001371613,0.000542907,0.000360994,0.000896148,0.00041157,0.00065992,0.000418356,0.00049021,0.000331415,0.000366946,0.000300808,0.004366241,0.000793984,0.001562104,0.001540342,0.001514189,0.001208126,0.001331017,0.001361337,0.00136797,0.004533637,0.004944957,0.00200299,0.0004085,0.002815499,0.002868053,0.00156604,0.001819281,0.003390797,0.003079049,0.001693387,0.000513414,0.01264978,0.013978687,0.002362222,0.001375114,0.000991201,0.000734669,0.000861051,0.000707975
OTU_603,0.7965,0.8889,0.841,0.004,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,,OTU_603,0.010863606,0,9.33E-06,0,0.002638988,8.86E-06,0,0,0.000433917,2.79E-05,7.89E-05,8.48E-05,0.000243889,0,0,0,3.76E-05,0,0,0,3.47E-05,4.46E-05,2.47E-05,6.51E-05,1.11E-05,1.02E-05,8.98E-06,2.24E-05,1.02E-05,0,0,0,0,3.73E-05,3.61E-05,2.06E-05,4.14E-05,0,5.81E-06,6.55E-06,4.15E-05,4.85E-06,6.46E-06,5.73E-05,2.79E-05,0,2.35E-05,1.31E-05,6.13E-06,1.42E-05,6.47E-06,0,0,0.000393085,2.84E-05,5.09E-05,2.28E-05,0.000844277,6.07E-06,6.84E-06,5.78E-06,0.001621306,1.55E-05,1.89E-05,7.16E-06,2.74E-05,5.79E-05,5.41E-05,5.33E-05,0.000136836
OTU_798,0.8428,0.8148,0.829,0.001,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,uncultured,uncultured alpha proteobacterium,OTU_798,0.004808438,0,0,0,0,0,0,7.22E-06,9.43E-06,3.72E-05,3.51E-05,1.70E-05,8.13E-05,0,0,0,0,0,0,0,0,2.68E-05,2.47E-05,3.25E-05,3.33E-05,0,0,0,0,0,0,0,9.50E-06,6.40E-05,4.33E-05,3.09E-05,4.14E-05,0,0,0.000144157,6.22E-05,0,3.23E-05,0.000152866,0.000167428,0.00015264,0.000158347,6.56E-06,6.13E-06,7.84E-05,6.47E-06,0,0.000681614,3.85E-05,0.000191966,0.000101824,0.000121634,3.27E-05,0,0,2.89E-05,1.08E-05,0,0,0.000229064,0.000264972,1.93E-05,3.87E-05,6.10E-05,3.57E-05
